,Data,Fechamento,Variação,Retorno Mensal (%),Abertura,Máxima,Mínima,Volume
0,2021-07-19,30878.02,-989.05,-0.031,31700.17,31887.82,30439.99,13590
1,2021-07-18,31867.07,327.06,0.0104,31598.6,32450.0,31200.0,7231
2,2021-07-17,31540.01,156.55,0.005,31492.44,31949.99,31179.01,8385
3,2021-07-16,31383.46,-191.82,-0.0061,31676.67,32259.16,31025.42,14127
4,2021-07-15,31575.28,-1185.66,-0.0362,32803.98,33187.6,31064.77,14899
5,2021-07-14,32760.94,207.68,0.0064,32754.24,33125.55,31600.0,13781
6,2021-07-13,32553.26,-584.84,-0.0176,32915.08,33337.61,32201.12,12770
7,2021-07-12,33138.1,-1138.6,-0.0332,34303.07,34670.0,32665.0,12858
8,2021-07-11,34276.7,643.83,0.0191,33522.02,34607.37,33333.33,8711
9,2021-07-10,33632.87,-248.47,-0.0073,33875.45,34267.14,33027.83,8162
10,2021-07-09,33881.34,995.52,0.0303,32756.5,34100.0,32255.24,11881
11,2021-07-08,32885.82,-1076.28,-0.0317,33863.82,33900.12,32111.0,20054
12,2021-07-07,33962.1,-78.42,-0.0023,34236.38,35077.46,33770.01,12764
13,2021-07-06,34040.52,122.54,0.0036,33843.93,35113.4,33300.0,14196
14,2021-07-05,33917.98,-1399.97,-0.0396,35116.42,35159.31,33156.86,12534
15,2021-07-04,35317.95,667.95,0.0193,34642.73,35951.0,34390.53,7999
16,2021-07-03,34650.0,861.78,0.0255,33898.66,34953.07,33320.0,9309
17,2021-07-02,33788.22,182.43,0.0054,33552.99,34000.0,32704.73,15131
18,2021-07-01,33605.79,-1530.82,-0.0436,34919.01,35034.18,32703.48,18480
19,2021-06-30,35136.61,-779.15,-0.0217,35737.62,36094.42,34033.0,23063
20,2021-06-29,35915.76,1534.34,0.0446,34641.49,36675.0,34233.35,23262
21,2021-06-28,34381.42,-131.06,-0.0038,34629.98,35301.43,33864.99,19161
22,2021-06-27,34512.48,2673.38,0.084,32091.17,34704.79,32002.21,18875
23,2021-06-26,31839.1,32.59,0.001,31445.03,32711.68,30173.49,24226
24,2021-06-25,31806.51,-2834.6,-0.0818,34832.3,35500.0,31300.0,33087
25,2021-06-24,34641.11,988.03,0.0294,33557.91,35288.7,32300.0,21796
26,2021-06-23,33653.08,1195.08,0.0368,32223.7,34817.81,31729.98,20173
27,2021-06-22,32458.0,885.31,0.028,31582.03,33352.0,28811.98,40965
28,2021-06-21,31572.69,-4080.94,-0.1145,35661.39,35741.54,31259.0,56868
29,2021-06-20,35653.63,167.79,0.0047,35602.67,36139.73,33347.05,28122
30,2021-06-19,35485.84,-268.95,-0.0075,35727.26,36457.18,34833.26,21193
31,2021-06-18,35754.79,-2339.71,-0.0614,37943.63,38216.22,35153.16,31723
32,2021-06-17,38094.5,-197.99,-0.0052,38365.58,39554.98,37365.63,21675
33,2021-06-16,38292.49,-2010.66,-0.0499,40088.49,40499.0,38105.0,25598
34,2021-06-15,40303.15,-221.24,-0.0055,40269.93,41322.55,39510.98,23261
35,2021-06-14,40524.39,1670.38,0.043,39159.41,41076.03,38734.1,30977
36,2021-06-13,38854.01,3311.87,0.0932,35434.41,39396.0,34780.57,23199
37,2021-06-12,35542.14,-1805.76,-0.0483,37283.5,37449.5,34635.47,19912
38,2021-06-11,37347.9,508.66,0.0138,36565.02,37695.0,35952.7,14681
39,2021-06-10,36839.24,-613.83,-0.0164,37521.3,38425.67,35800.0,30527
40,2021-06-09,37453.07,3974.18,0.1187,33205.63,37573.99,32408.53,37019
41,2021-06-08,33478.89,-219.83,-0.0065,33809.51,34069.0,31004.95,73922
42,2021-06-07,33698.72,-2070.9,-0.0579,35808.49,36812.39,33555.34,23377
43,2021-06-06,35769.62,349.89,0.0099,35506.21,36479.5,35258.0,12066
44,2021-06-05,35419.73,-1505.99,-0.0408,36841.66,37921.35,34832.17,19216
45,2021-06-04,36925.72,-2234.22,-0.0571,38982.14,39249.8,35593.22,25156
46,2021-06-03,39159.94,1480.43,0.0393,37702.12,39489.82,37184.88,19944
47,2021-06-02,37679.51,990.34,0.027,36646.87,38237.37,35920.0,22104
48,2021-06-01,36689.17,-707.06,-0.0189,37540.82,37915.62,35669.14,21080
49,2021-05-31,37396.23,1754.77,0.0492,35523.99,37534.09,34183.0,25890
50,2021-05-30,35641.46,1091.46,0.0316,34337.13,36500.0,33333.0,20658
51,2021-05-29,34550.0,-1159.19,-0.0325,35804.11,37325.0,33650.86,31295
52,2021-05-28,35709.19,-2929.29,-0.0758,38193.83,38900.0,34688.0,42834
53,2021-05-27,38638.48,-689.03,-0.0175,39182.36,40440.95,37191.99,26348
54,2021-05-26,39327.51,1090.03,0.0285,38375.83,40900.0,37837.36,35699
55,2021-05-25,38237.48,-444.16,-0.0115,39073.6,39878.51,36481.26,34411
56,2021-05-24,38681.64,3659.07,0.1045,35210.6,39966.87,34407.17,54980
57,2021-05-23,35022.57,-2576.87,-0.0685,37012.91,38295.33,31111.0,57850
58,2021-05-22,37599.44,665.53,0.018,38121.29,38593.64,37253.08,32956
59,2021-05-21,36933.91,-3497.43,-0.0865,41052.4,42275.99,33550.0,59326
60,2021-05-20,40431.34,2929.48,0.0781,37287.54,42605.0,35000.0,56951
61,2021-05-19,37501.86,-5616.61,-0.1303,42609.53,43587.1,30423.05,51814
62,2021-05-18,43118.47,-556.8,-0.0127,43282.26,45851.0,42300.0,36015
63,2021-05-17,43675.27,-2336.19,-0.0508,46350.0,46648.5,42111.2,33929
64,2021-05-16,46011.46,-960.74,-0.0205,47060.52,49828.8,43838.4,22645
65,2021-05-15,46972.2,-3044.23,-0.0609,50068.7,50827.3,46622.08,27005
66,2021-05-14,50016.43,527.91,0.0107,49906.28,51569.56,48886.0,25646
67,2021-05-13,49488.52,-1661.25,-0.0325,47514.77,52500.0,45149.11,41265
68,2021-05-12,51149.77,-5486.83,-0.0969,56736.1,58041.0,50111.0,24500
69,2021-05-11,56636.6,626.4,0.0112,55801.77,56959.4,54500.0,13590
70,2021-05-10,56010.2,-2232.38,-0.0383,58267.11,59598.8,53643.36,23474
71,2021-05-09,58242.58,-522.99,-0.0089,58929.47,59318.35,56445.99,21552
72,2021-05-08,58765.57,1370.19,0.0239,57540.01,59559.84,56980.01,21298
73,2021-05-07,57395.38,745.35,0.0132,56256.47,58735.95,55300.0,23920
74,2021-05-06,56650.03,-625.13,-0.0109,57422.69,58420.2,55309.0,18325
