,Data,Fechamento,Variação,Retorno mensal (%),Abertura,Máxima,Mínima,Volume
0,2021-07-19,120.2,-0.95,-0.0078,119.5,120.2,118.64,6486683
1,2021-07-16,121.15,0.0,0.0,123.01,123.14,121.04,0
2,2021-07-16,121.15,-1.3,-0.0106,123.01,123.14,121.04,5638173
3,2021-07-15,122.45,-0.88,-0.0071,123.23,124.07,122.08,3957784
4,2021-07-14,123.33,0.13,0.0011,124.3,124.71,123.2,6404311
5,2021-07-13,123.2,0.37,0.003,122.2,123.5,121.61,5542561
6,2021-07-12,122.83,2.23,0.0185,121.44,122.95,121.34,3848761
7,2021-07-09,120.6,0.0,0.0,120.03,121.13,119.55,0
8,2021-07-08,120.6,-1.68,-0.0137,120.03,121.13,119.55,5495716
9,2021-07-07,122.28,1.98,0.0165,121.5,122.37,120.43,4434057
10,2021-07-06,120.3,-1.82,-0.0149,121.5,121.56,120.05,5737666
11,2021-07-05,122.12,-0.69,-0.0056,122.58,122.58,121.66,4438025
12,2021-07-02,122.81,1.96,0.0162,121.71,122.86,121.22,6797338
13,2021-07-01,120.85,-0.95,-0.0078,122.12,122.29,120.2,6444719
14,2021-06-30,121.8,-0.56,-0.0046,121.87,122.34,121.34,4420217
15,2021-06-29,122.36,0.16,0.0013,122.55,122.59,121.33,5278648
16,2021-06-28,122.2,-0.25,-0.002,122.57,123.22,121.8,5940399
17,2021-06-25,122.45,-2.05,-0.0165,124.93,124.93,121.76,5259374
18,2021-06-24,124.5,0.96,0.0078,124.74,124.74,123.91,3709919
19,2021-06-23,123.54,-0.29,-0.0023,123.82,124.95,123.25,4934977
20,2021-06-22,123.83,-0.45,-0.0036,123.76,124.61,122.9,4569188
21,2021-06-21,124.28,1.01,0.0082,123.22,124.51,123.11,4918283
22,2021-06-18,123.27,0.2,0.0016,123.39,123.88,122.61,4714040
23,2021-06-17,123.07,-1.21,-0.0097,124.21,124.96,122.72,5283599
24,2021-06-16,124.28,-0.9,-0.0072,125.38,125.38,123.42,7216054
25,2021-06-15,125.18,-0.07,-0.0006,125.17,125.33,124.32,4464888
26,2021-06-14,125.25,0.77,0.0062,125.29,126.14,124.71,5365397
27,2021-06-11,124.48,-0.62,-0.005,125.57,125.57,123.76,4494720
28,2021-06-10,125.1,0.11,0.0009,125.36,125.59,124.35,4077196
29,2021-06-09,124.99,0.32,0.0026,124.91,125.92,124.37,5377578
30,2021-06-08,124.67,-1.0,-0.008,125.5,125.81,124.35,6628054
31,2021-06-07,125.67,0.57,0.0046,124.8,126.22,124.56,5564378
32,2021-06-04,125.1,0.43,0.0034,124.46,125.18,124.16,4723353
33,2021-06-03,124.67,0.0,0.0,123.51,124.67,123.21,0
34,2021-06-02,124.67,1.2,0.0097,123.51,124.67,123.21,7374585
35,2021-06-01,123.47,2.22,0.0183,122.49,123.5,122.49,7087058
36,2021-05-31,121.25,0.53,0.0044,120.84,121.29,120.28,4709160
37,2021-05-28,120.72,1.11,0.0093,119.75,120.89,119.53,5991438
38,2021-05-27,119.61,0.31,0.0026,119.46,119.83,118.79,6039069
39,2021-05-26,119.3,0.85,0.0072,118.94,119.58,118.79,4719390
40,2021-05-25,118.45,-0.85,-0.0071,119.89,119.97,118.05,5705634
41,2021-05-24,119.3,1.29,0.0109,118.26,119.5,117.96,5791215
42,2021-05-21,118.01,0.11,0.0009,118.01,118.13,117.1,5169068
43,2021-05-20,117.9,-0.11,-0.0009,118.05,118.14,117.48,4851175
44,2021-05-19,118.01,0.0,0.0,117.07,118.54,116.94,0
45,2021-05-19,118.01,-0.18,-0.0015,117.07,118.54,116.94,4843778
46,2021-05-18,118.19,-0.11,-0.0009,118.09,118.88,117.74,5456774
47,2021-05-17,118.3,1.06,0.009,117.07,118.41,117.06,5279814
48,2021-05-14,117.24,1.2,0.0103,117.18,117.56,116.38,5048994
49,2021-05-13,116.04,0.77,0.0067,115.61,116.82,115.28,7590937
50,2021-05-12,115.27,-2.86,-0.0242,116.86,117.09,114.84,9237659
51,2021-05-11,118.13,0.99,0.0085,116.0,118.13,115.61,6538806
52,2021-05-10,117.14,-0.32,-0.0027,117.75,118.07,117.13,6074219
53,2021-05-07,117.46,2.03,0.0176,115.76,117.46,115.68,4688407
54,2021-05-06,115.43,0.28,0.0024,114.97,115.45,114.54,7731692
55,2021-05-05,115.15,1.88,0.0166,114.05,115.29,113.73,7249427
56,2021-05-04,113.27,-1.41,-0.0123,114.8,114.8,113.16,8940102
57,2021-05-03,114.68,0.28,0.0024,115.3,115.38,113.94,5412178
58,2021-04-30,114.4,-0.92,-0.008,114.78,115.59,114.33,6032203
59,2021-04-29,115.32,-1.08,-0.0093,116.63,116.88,115.14,9097325
60,2021-04-28,116.4,1.62,0.0141,115.48,116.69,115.37,8855309
61,2021-04-27,114.78,-1.17,-0.0101,116.02,116.49,114.45,6173146
