,Data,Fechamento,Variação,Retorno Mensal (%),Abertura,Máxima,Mínima,Volume
0,2021-07-19,5.2524,0.14,0.0268,5.1168,5.2582,5.11329,0.0
1,2021-07-18,5.1155,0.0,0.0,5.11571,5.11571,5.1155,0.0
2,2021-07-17,5.1155,0.0,0.0,5.11037,5.1155,5.11037,0.0
3,2021-07-16,5.11545,0.0,0.0008,5.1118,5.1268,5.0757,0.0
4,2021-07-15,5.1115,0.04,0.0079,5.0718,5.1385,5.05626,0.0
5,2021-07-14,5.0714,-0.09,-0.018,5.16291,5.1657,5.067,0.0
6,2021-07-13,5.1641,-0.01,-0.0019,5.1743,5.2385,5.14836,0.0
7,2021-07-12,5.1741,-0.09,-0.0162,5.1977,5.28344,5.16325,0.0
8,2021-07-11,5.2594,0.0,0.0,5.2594,5.2594,5.2594,0.0
9,2021-07-10,5.2594,0.0,0.0,5.25074,5.2594,5.2594,0.0
10,2021-07-09,5.2594,0.0,0.0,5.2597,5.2835,5.2584,0.0
11,2021-07-09,5.2594,0.0,0.0,5.2597,5.2835,5.2584,0.0
12,2021-07-08,5.2595,0.03,0.0052,5.23229,5.3121,5.21986,0.0
13,2021-07-07,5.2323,0.04,0.0068,5.197,5.2806,5.1675,0.0
14,2021-07-06,5.197,0.11,0.0207,5.09215,5.2165,5.0759,0.0
15,2021-07-05,5.09181,0.03,0.0065,5.0606,5.10009,5.0489,0.0
16,2021-07-04,5.0589,0.0,0.0,5.05867,5.0589,5.05867,0.0
17,2021-07-03,5.05867,0.0,-0.0005,5.06108,5.06108,5.05867,0.0
18,2021-07-02,5.06108,0.01,0.0025,5.04848,5.0736,4.9878,0.0
19,2021-07-01,5.04848,0.08,0.0156,4.9706,5.055,4.947,0.0
20,2021-06-30,4.9707,0.01,0.0028,4.95654,5.02338,4.9541,0.0
21,2021-06-29,4.9568,0.03,0.0062,4.9262,4.97114,4.9219,0.0
22,2021-06-28,4.9263,0.01,0.0019,4.93618,4.9718,4.91797,0.0
23,2021-06-27,4.9169,-0.02,-0.0036,4.9345,4.9351,4.90599,0.0
24,2021-06-26,4.9345,0.0,0.0,4.9345,4.9345,4.9345,0.0
25,2021-06-25,4.9345,0.0,0.0,4.9144,4.9734,4.8941,0.0
26,2021-06-25,4.9345,0.02,0.0041,4.9144,4.9734,4.8941,0.0
27,2021-06-24,4.9142,-0.05,-0.0106,4.9667,4.9727,4.8983,0.0
28,2021-06-23,4.9667,0.01,0.0016,4.9595,4.98,4.93818,0.0
29,2021-06-22,4.9589,-0.06,-0.0111,5.01432,5.0456,4.9576,0.0
30,2021-06-21,5.0144,-0.08,-0.0149,5.09735,5.0974,5.01372,0.0
31,2021-06-20,5.09015,0.0,0.0,5.09015,5.09015,5.09015,0.0
32,2021-06-19,5.09015,0.0,0.0,5.09015,5.09015,5.09015,0.0
33,2021-06-18,5.09015,0.08,0.0162,5.00873,5.1093,4.9823,0.0
34,2021-06-17,5.0089,-0.05,-0.0093,5.05563,5.0753,5.0068,0.0
35,2021-06-16,5.0558,0.01,0.0021,5.0453,5.08065,4.9924,0.0
36,2021-06-15,5.0454,-0.01,-0.0029,5.06042,5.1044,5.0383,0.0
37,2021-06-14,5.0603,-0.06,-0.0109,5.1184,5.11912,5.0552,0.0
38,2021-06-13,5.1163,0.0,0.0,5.1163,5.1163,5.1163,0.0
39,2021-06-12,5.1163,0.0,0.0,5.1163,5.1163,5.1163,0.0
40,2021-06-11,5.1163,0.06,0.0119,5.056,5.1385,5.05388,0.0
41,2021-06-10,5.056,-0.01,-0.0014,5.06304,5.092,5.03305,0.0
42,2021-06-09,5.063,0.03,0.0053,5.03667,5.0858,5.019,0.0
43,2021-06-08,5.0363,-0.01,-0.0021,5.04664,5.0688,5.0205,0.0
44,2021-06-07,5.0469,0.0,-0.0007,5.0462,5.07,5.01791,0.0
45,2021-06-06,5.0504,0.0,0.0003,5.04879,5.0504,5.04879,0.0
46,2021-06-05,5.04879,0.0,0.0,5.04879,5.04879,5.04879,0.0
47,2021-06-04,5.04879,-0.03,-0.0057,5.07806,5.11492,5.032,0.0
48,2021-06-03,5.0778,0.0,0.0004,5.076,5.082,5.07411,0.0
49,2021-06-02,5.076,-0.08,-0.0146,5.1515,5.1739,5.068,0.0
50,2021-06-01,5.1513,-0.07,-0.0128,5.21828,5.22211,5.1401,0.0
51,2021-05-31,5.2181,-0.01,-0.0016,5.2394,5.26157,5.1988,0.0
52,2021-05-30,5.2264,0.0,0.0,5.22635,5.2264,5.22635,0.0
53,2021-05-29,5.22635,0.0,0.0,5.22635,5.22635,5.22635,0.0
54,2021-05-28,5.22635,-0.01,-0.0025,5.23959,5.26318,5.2088,0.0
55,2021-05-27,5.2397,-0.07,-0.0136,5.312,5.31424,5.236,0.0
56,2021-05-26,5.312,-0.02,-0.0038,5.3321,5.3436,5.2872,0.0
57,2021-05-25,5.3322,0.01,0.0022,5.3201,5.35005,5.29417,0.0
58,2021-05-24,5.3204,-0.04,-0.008,5.3634,5.37385,5.3106,0.0
59,2021-05-23,5.3633,0.0,-0.0006,5.3667,5.3667,5.3633,0.0
60,2021-05-22,5.3667,0.0,0.0,5.3667,5.3667,5.3667,0.0
61,2021-05-21,5.3667,0.08,0.0159,5.28286,5.36923,5.2706,0.0
62,2021-05-20,5.2828,-0.03,-0.005,5.30984,5.3113,5.26956,0.0
63,2021-05-19,5.3095,0.05,0.0092,5.2611,5.3247,5.259,0.0
64,2021-05-18,5.2609,-0.01,-0.0023,5.2732,5.281,5.2313,0.0
65,2021-05-17,5.2732,0.0,0.0002,5.2711,5.3199,5.2448,0.0
66,2021-05-16,5.272,0.0,0.0,5.27195,5.272,5.27195,0.0
67,2021-05-15,5.27195,0.0,0.0,5.27195,5.27195,5.27195,0.0
68,2021-05-14,5.27195,-0.04,-0.007,5.3089,5.30993,5.2455,0.0
69,2021-05-13,5.3092,0.0,0.0009,5.30412,5.3327,5.2521,0.0
70,2021-05-12,5.3046,0.08,0.0157,5.2228,5.3197,5.2115,0.0
71,2021-05-11,5.2228,0.0,-0.0003,5.2241,5.28158,5.2047,0.0
72,2021-05-10,5.2242,-0.01,-0.0021,5.237,5.2517,5.19803,0.0
73,2021-05-09,5.23534,0.0,0.0,5.23534,5.23534,5.23534,0.0
74,2021-05-08,5.23534,0.0,0.0,5.23534,5.23534,5.23534,0.0
75,2021-05-07,5.23534,-0.04,-0.0078,5.27678,5.2951,5.203,0.0
76,2021-05-06,5.27675,-0.08,-0.0145,5.35415,5.3747,5.2575,0.0
77,2021-05-05,5.3542,-0.09,-0.0166,5.44487,5.4478,5.3517,0.0
78,2021-05-04,5.4444,0.0,0.0009,5.4401,5.4841,5.4117,0.0
79,2021-05-03,5.4396,0.0,0.0002,5.4412,5.4543,5.373,0.0
80,2021-05-02,5.43857,0.0,0.0,5.43857,5.43857,5.43857,0.0
81,2021-05-01,5.43857,0.0,0.0,5.4369,5.43857,5.4369,0.0
82,2021-04-30,5.43834,0.1,0.0188,5.33812,5.44549,5.3364,0.0
83,2021-04-29,5.3379,-0.01,-0.0009,5.3429,5.405,5.32886,0.0
84,2021-04-28,5.3429,-0.11,-0.02,5.45239,5.4561,5.34139,0.0
85,2021-04-27,5.4521,0.01,0.0028,5.43655,5.46705,5.41088,0.0
86,2021-04-26,5.4371,-0.04,-0.0071,5.47855,5.4898,5.4325,0.0
87,2021-04-25,5.476,0.0,-0.0001,5.47641,5.47641,5.476,0.0
88,2021-04-24,5.47641,0.0,0.0001,5.42665,5.47641,5.42665,0.0
89,2021-04-23,5.476,0.03,0.0057,5.44476,5.5224,5.4245,0.0
90,2021-04-22,5.4447,-0.12,-0.0224,5.56952,5.57053,5.4378,0.0
91,2021-04-21,5.5694,0.0,0.0,5.5695,5.5719,5.56677,0.0
92,2021-04-20,5.5692,0.02,0.004,5.5457,5.58649,5.50273,0.0
93,2021-04-19,5.5468,-0.04,-0.0075,5.58849,5.621,5.527,0.0
94,2021-04-18,5.5886,0.0,0.0,5.5873,5.61962,5.5873,0.0
95,2021-04-17,5.58874,0.0,0.0,5.58861,5.61962,5.5873,0.0
96,2021-04-16,5.58861,-0.03,-0.005,5.61635,5.6774,5.5662,0.0
97,2021-04-15,5.6166,-0.04,-0.0067,5.6539,5.65887,5.5952,0.0
98,2021-04-14,5.6544,-0.06,-0.0112,5.7177,5.7354,5.64598,0.0
99,2021-04-13,5.7184,-0.02,-0.0027,5.73286,5.7559,5.6634,0.0
100,2021-04-12,5.7337,0.05,0.0093,5.6786,5.74171,5.63,0.0
101,2021-04-11,5.6808,-0.01,-0.0021,5.6926,5.6926,5.6808,0.0
102,2021-04-10,5.6926,0.01,0.0021,5.6808,5.708,5.6808,0.0
103,2021-04-09,5.6808,0.11,0.0202,5.5683,5.6846,5.56438,0.0
104,2021-04-08,5.5681,-0.05,-0.0081,5.61382,5.61647,5.5385,0.0
105,2021-04-07,5.6136,0.02,0.0034,5.5939,5.6538,5.548,0.0
106,2021-04-06,5.5944,-0.07,-0.0123,5.6642,5.6681,5.57648,0.0
107,2021-04-05,5.6642,-0.04,-0.0077,5.7121,5.7123,5.6337,0.0
108,2021-04-04,5.708,0.0,0.0,5.708,5.708,5.708,0.0
109,2021-04-03,5.708,0.0,0.0,5.708,5.708,5.708,0.0
110,2021-04-02,5.708,0.0,-0.0002,5.7089,5.7087,5.7079,0.0
111,2021-04-01,5.7089,0.08,0.0135,5.63345,5.727,5.6102,0.0
112,2021-03-31,5.6328,-0.14,-0.0244,5.77276,5.7763,5.6225,0.0
113,2021-03-30,5.7735,-0.01,-0.0016,5.7826,5.80235,5.72152,0.0
114,2021-03-29,5.7825,0.03,0.0046,5.754,5.806,5.73783,0.0
115,2021-03-28,5.7562,0.0,0.0,5.7562,5.7562,5.7562,0.0
116,2021-03-27,5.7562,0.0,0.0,5.7562,5.7562,5.7562,0.0
117,2021-03-26,5.7562,0.11,0.0188,5.64926,5.75837,5.6325,0.0
118,2021-03-25,5.6499,0.03,0.0051,5.6212,5.68074,5.6174,0.0
119,2021-03-24,5.6211,0.1,0.0181,5.52171,5.6427,5.48985,0.0
120,2021-03-23,5.5214,0.01,0.0026,5.50677,5.54777,5.46447,0.0
121,2021-03-22,5.507,0.02,0.003,5.4904,5.5472,5.48779,0.0
122,2021-03-21,5.4908,0.0,0.0,5.4908,5.4908,5.4908,0.0
123,2021-03-20,5.4908,0.0,0.0,5.4908,5.4908,5.4908,0.0
124,2021-03-20,5.4908,0.0,0.0,5.4908,5.4908,5.4908,0.0
125,2021-03-19,5.4908,-0.07,-0.0125,5.56045,5.571,5.44865,0.0
126,2021-03-18,5.56045,-0.02,-0.0043,5.58467,5.58781,5.4774,0.0
127,2021-03-17,5.5846,-0.04,-0.0072,5.62488,5.68226,5.5713,0.0
128,2021-03-16,5.6249,0.01,0.0016,5.61602,5.62959,5.55771,0.0
129,2021-03-15,5.616,0.1,0.0181,5.51667,5.6552,5.50367,0.0
130,2021-03-14,5.51607,-0.04,-0.0067,5.55305,5.55305,5.51557,0.0
131,2021-03-13,5.55305,0.0,0.0,5.55305,5.55305,5.55305,0.0
132,2021-03-12,5.55305,0.02,0.003,5.5362,5.58709,5.5324,0.0
133,2021-03-11,5.5362,-0.14,-0.024,5.67255,5.673,5.527,0.0
134,2021-03-10,5.6726,-0.13,-0.0225,5.80263,5.814,5.6453,0.0
135,2021-03-09,5.803,-0.07,-0.0124,5.8761,5.87948,5.76982,0.0
136,2021-03-08,5.8761,0.19,0.0325,5.69275,5.8767,5.6818,0.0
137,2021-03-07,5.6911,0.0,0.0,5.6911,5.6911,5.6911,0.0
138,2021-03-06,5.6911,0.0,0.0,5.6911,5.6911,5.6911,0.0
139,2021-03-05,5.6911,0.02,0.0037,5.67005,5.7188,5.6537,0.0
140,2021-03-04,5.67,0.05,0.0091,5.61985,5.68334,5.54492,0.0
141,2021-03-03,5.619,-0.06,-0.0101,5.6764,5.77202,5.58181,0.0
142,2021-03-02,5.6766,0.03,0.0061,5.6422,5.7319,5.63847,0.0
143,2021-03-01,5.6422,0.04,0.0077,5.6049,5.6431,5.55708,0.0
144,2021-02-28,5.5992,0.0,0.0,5.5992,5.5992,5.5992,0.0
145,2021-02-27,5.5992,0.0,0.0,5.5992,5.5992,5.5992,0.0
146,2021-02-26,5.5992,0.07,0.0122,5.53103,5.61465,5.49099,0.0
147,2021-02-25,5.53174,0.13,0.0232,5.40636,5.53951,5.40397,0.0
148,2021-02-24,5.40624,-0.03,-0.0064,5.4412,5.4575,5.3903,0.0
149,2021-02-23,5.4411,-0.02,-0.0044,5.46605,5.4875,5.4081,0.0
150,2021-02-22,5.4649,0.08,0.0153,5.3833,5.53337,5.38093,0.0
151,2021-02-21,5.3825,0.0,0.0,5.3825,5.3825,5.3825,0.0
152,2021-02-20,5.3825,0.0,0.0,5.3825,5.3825,5.3825,0.0
153,2021-02-19,5.3825,-0.05,-0.0083,5.4274,5.46917,5.36777,0.0
154,2021-02-18,5.4275,0.02,0.003,5.41113,5.4535,5.3873,0.0
155,2021-02-17,5.4113,0.04,0.0075,5.37066,5.4327,5.3685,0.0
156,2021-02-16,5.3709,0.0,0.0003,5.3693,5.37275,5.36822,0.0
157,2021-02-15,5.3695,0.0,-0.0001,5.3703,5.373,5.3684,0.0
158,2021-02-14,5.3701,0.0,0.0,5.3701,5.3705,5.37,0.0
159,2021-02-13,5.37,0.0,0.0,5.3701,5.3701,5.37,0.0
160,2021-02-12,5.3701,0.0,0.0006,5.3668,5.4123,5.3557,0.0
161,2021-02-11,5.3668,-0.02,-0.0036,5.3864,5.41057,5.3343,0.0
162,2021-02-10,5.3864,0.01,0.0015,5.37847,5.43713,5.35041,0.0
163,2021-02-09,5.3782,0.01,0.0023,5.3652,5.4471,5.357,0.0
164,2021-02-08,5.366,0.0,-0.0009,5.3722,5.4206,5.30568,0.0
165,2021-02-06,5.3708,0.0,0.0,5.3708,5.3708,5.3708,0.0
166,2021-02-06,5.3708,0.0,0.0,5.3708,5.3708,5.3708,0.0
167,2021-02-05,5.3708,-0.06,-0.0104,5.42707,5.4556,5.346,0.0
168,2021-02-04,5.4271,0.07,0.0137,5.35357,5.45577,5.3525,0.0
169,2021-02-03,5.3535,-0.01,-0.0028,5.3687,5.3925,5.3216,0.0
170,2021-02-02,5.3684,-0.06,-0.0117,5.43227,5.43664,5.34416,0.0
171,2021-02-01,5.432,-0.03,-0.0055,5.4623,5.4862,5.42007,0.0
172,2021-01-31,5.4623,0.0,0.0,5.4623,5.46287,5.4623,0.0
173,2021-01-30,5.4623,0.0,0.0,5.46223,5.4623,5.43423,0.0
174,2021-01-29,5.46223,0.0,0.0,5.44069,5.5045,5.42387,0.0
175,2021-01-29,5.46223,0.02,0.0039,5.44069,5.5045,5.42387,0.0
176,2021-01-28,5.44079,0.03,0.0049,5.41342,5.45956,5.39056,0.0
177,2021-01-27,5.4141,0.06,0.011,5.3552,5.4194,5.3445,0.0
178,2021-01-26,5.3553,-0.11,-0.0204,5.46689,5.4776,5.31354,0.0
179,2021-01-25,5.467,0.0,0.0,5.4675,5.4688,5.4649,0.0
180,2021-01-24,5.4671,0.0,0.0,5.4671,5.4671,5.4671,0.0
181,2021-01-23,5.4671,0.0,0.0,5.4671,5.4671,5.4671,0.0
182,2021-01-22,5.4671,0.12,0.0217,5.3509,5.4857,5.3496,0.0
183,2021-01-21,5.3509,0.06,0.0111,5.2918,5.4003,5.23441,0.0
184,2021-01-20,5.292,-0.07,-0.0124,5.35771,5.3594,5.2755,0.0
185,2021-01-19,5.3582,0.06,0.0117,5.2964,5.3682,5.24354,0.0
186,2021-01-19,5.3582,0.06,0.0117,5.2964,5.3682,5.24354,0.0
