,Data,Fechamento,Variação,Retorno Mensal (%),Abertura,Máxima,Mínima,Volume
0,2015-08-21,1.38,-0.02,-0.0115,1.4,1.48,1.35,687564
1,2015-08-20,1.4,-0.07,-0.0475,1.48,1.56,1.35,1448422
2,2015-08-19,1.46,0.21,0.1637,1.25,1.53,1.25,1941239
3,2015-08-18,1.26,0.17,0.1581,1.17,1.32,1.17,1180623
4,2015-08-17,1.09,-0.12,-0.0968,1.22,1.33,1.09,1366708
5,2015-08-16,1.2,-0.36,-0.2314,1.58,1.58,1.19,1614169
6,2015-08-15,1.57,-0.12,-0.0728,1.68,1.7,1.09,2267383
7,2015-08-14,1.69,-0.14,-0.076,1.8,1.88,1.57,1512440
8,2015-08-13,1.83,0.0,0.0001,1.81,2.26,1.75,2536848
9,2015-08-12,1.83,0.61,0.5012,1.22,1.97,1.17,2226156
10,2015-08-11,1.22,0.15,0.1401,1.06,1.29,0.883608,1766510
11,2015-08-10,1.07,0.36,0.5073,0.708087,1.13,0.663235,1370123
12,2015-08-09,0.708448,0.006551,0.0093,0.713989,0.729854,0.636546,572071
13,2015-08-08,0.701897,-0.051428,-0.0683,0.706136,0.87981,0.629191,758188
14,2015-08-07,0.753325,-2.02,-0.7282,2.79,2.8,0.714725,894949
15,2015-10-20,0.447329,0.0125,0.0287,0.431589,0.482988,0.420897,1361604
16,2015-10-19,0.434829,-0.054185,-0.1108,0.489629,0.501898,0.431648,882924
17,2015-10-18,0.489014,-0.02872,-0.0555,0.517621,0.521546,0.480994,498435
18,2015-10-17,0.517734,-0.029444,-0.0538,0.547913,0.552234,0.512861,258221
19,2015-10-16,0.547178,0.010683,0.0199,0.534117,0.56346,0.526961,573597
20,2015-10-15,0.536495,-0.025383,-0.0452,0.562593,0.568861,0.522533,465784
21,2015-10-14,0.561878,0.03891,0.0744,0.523278,0.572714,0.51473,660324
22,2015-10-13,0.522968,-0.084687,-0.1394,0.61224,0.61224,0.483974,1857979
23,2015-10-12,0.607655,-0.018375,-0.0294,0.627943,0.63024,0.599214,498710
24,2015-10-11,0.62603,-0.008933,-0.0141,0.634515,0.657789,0.62603,175018
25,2015-10-10,0.634963,0.007106,0.0113,0.627461,0.639506,0.618335,160840
26,2015-10-09,0.627857,-0.022771,-0.035,0.641187,0.649022,0.624374,225457
27,2015-10-08,0.650628,0.028912,0.0465,0.655084,0.692296,0.632116,593918
28,2015-10-07,0.621716,0.012328,0.0202,0.609501,0.633138,0.591971,499047
29,2015-10-06,0.609388,-0.041257,-0.0634,0.650515,0.656301,0.602423,358272
30,2015-10-05,0.650645,0.022002,0.035,0.622218,0.653944,0.60623,403713
31,2015-10-04,0.628643,-0.039736,-0.0595,0.666784,0.674438,0.62445,372648
32,2015-10-03,0.668379,-0.018792,-0.0273,0.686343,0.693126,0.660716,154847
33,2015-10-02,0.687171,0.008597,0.0127,0.678783,0.709204,0.675482,237678
34,2015-10-01,0.678574,-0.011641,-0.0169,0.683732,0.69112,0.654605,323204
35,2015-09-30,0.690215,-0.048429,-0.0656,0.734307,0.734307,0.655906,863620
36,2015-09-29,0.738644,0.077498,0.1172,0.661192,0.746722,0.635861,839275
