,Data,%
0,1986-07-01,1.84
1,1986-08-01,2.3
2,1986-09-01,2.71
3,1986-10-01,2.87
4,1986-11-01,5.15
5,1986-12-01,9.71
7,1987-01-01,13.67
8,1987-02-01,21.93
9,1987-03-01,13.8
10,1987-04-01,15.5
11,1987-05-01,25.3
12,1987-06-01,18.61
13,1987-07-01,9.33
14,1987-08-01,8.36
15,1987-09-01,8.48
16,1987-10-01,10.26
17,1987-11-01,13.54
18,1987-12-01,13.25
20,1988-01-01,16.19
21,1988-02-01,17.4
22,1988-03-01,16.66
23,1988-04-01,19.92
24,1988-05-01,18.35
25,1988-06-01,19.92
26,1988-07-01,24.18
27,1988-08-01,20.03
28,1988-09-01,25.48
29,1988-10-01,27.19
30,1988-11-01,24.55
31,1988-12-01,29.48
33,1989-01-01,22.38
34,1989-02-01,18.98
35,1989-03-01,20.23
36,1989-04-01,9.91
37,1989-05-01,11.37
38,1989-06-01,26.97
39,1989-07-01,32.31
40,1989-08-01,34.86
41,1989-09-01,37.77
42,1989-10-01,45.82
43,1989-11-01,46.95
44,1989-12-01,62.77
45,1990-01-01,66.7
46,1990-02-01,79.04
47,1990-03-01,35.49
48,1990-04-01,4.83
49,1990-05-01,4.26
50,1990-06-01,9.38
51,1990-07-01,14.34
52,1990-08-01,12.65
53,1990-09-01,17.5
54,1990-10-01,21.96
55,1990-11-01,23.05
56,1990-12-01,31.14
57,1991-01-01,23.46
58,1991-02-01,8.72
59,1991-03-01,10.01
60,1991-04-01,12.49
61,1991-05-01,12.64
62,1991-06-01,10.66
63,1991-07-01,13.26
64,1991-08-01,15.97
65,1991-09-01,20.01
66,1991-10-01,26.09
67,1991-11-01,31.98
68,1991-12-01,30.91
69,1992-01-01,29.07
70,1992-02-01,30.32
71,1992-03-01,25.2
72,1992-04-01,23.75
73,1992-05-01,22.94
74,1992-06-01,24.24
75,1992-07-01,26.31
76,1992-08-01,25.73
77,1992-09-01,27.65
78,1992-10-01,28.19
79,1992-11-01,26.09
80,1992-12-01,26.06
81,1993-01-01,28.77
82,1993-02-01,28.56
83,1993-03-01,28.54
84,1993-04-01,30.38
85,1993-05-01,30.93
86,1993-06-01,31.8
87,1993-07-01,32.79
88,1993-08-01,34.8
89,1993-09-01,37.43
90,1993-10-01,38.39
91,1993-11-01,38.07
92,1993-12-01,40.64
93,1994-01-01,43.25
94,1994-02-01,41.46
95,1994-03-01,46.98
96,1994-04-01,45.96
97,1994-05-01,48.11
98,1994-06-01,48.43
99,1994-07-01,6.68
100,1994-08-01,4.16
101,1994-09-01,3.85
102,1994-10-01,3.65
103,1994-11-01,4.11
104,1994-12-01,3.84
105,1995-01-01,3.48
106,1995-02-01,3.24
107,1995-03-01,4.41
108,1995-04-01,4.22
109,1995-05-01,4.27
110,1995-06-01,4.05
111,1995-07-01,4.01
112,1995-08-01,3.81
113,1995-09-01,3.25
114,1995-10-01,3.06
115,1995-11-01,2.84
116,1995-12-01,2.73
117,1996-01-01,2.56
