,Data,%
0,1981-01-01,6.82
1,1981-02-01,6.15
2,1981-03-01,5.1
3,1981-04-01,5.04
4,1981-05-01,7.39
5,1981-06-01,3.97
6,1981-07-01,6.69
7,1981-08-01,6.28
8,1981-09-01,5.29
9,1981-10-01,4.57
10,1981-11-01,5.88
11,1981-12-01,4.37
14,1982-01-01,8.32
15,1982-02-01,6.14
16,1982-03-01,6.36
17,1982-04-01,5.18
18,1982-05-01,6.46
19,1982-06-01,7.38
20,1982-07-01,6.54
21,1982-08-01,5.94
22,1982-09-01,5.61
23,1982-10-01,4.59
24,1982-11-01,4.59
25,1982-12-01,6.04
28,1983-01-01,10.45
29,1983-02-01,6.06
30,1983-03-01,8.54
31,1983-04-01,7.8
32,1983-05-01,5.57
33,1983-06-01,7.87
34,1983-07-01,12.06
35,1983-08-01,8.32
36,1983-09-01,9.48
37,1983-10-01,10.9
38,1983-11-01,6.96
39,1983-12-01,7.44
42,1984-01-01,10.14
43,1984-02-01,9.1
44,1984-03-01,8.98
45,1984-04-01,9.23
46,1984-05-01,9.88
47,1984-06-01,8.14
48,1984-07-01,12.62
49,1984-08-01,7.32
50,1984-09-01,11.39
51,1984-10-01,10.87
52,1984-11-01,10.35
53,1984-12-01,10.35
56,1985-01-01,14.61
57,1985-02-01,8.95
58,1985-03-01,12.78
59,1985-04-01,8.8
60,1985-05-01,6.76
61,1985-06-01,7.71
62,1985-07-01,9.27
63,1985-08-01,12.1
64,1985-09-01,11.98
65,1985-10-01,9.6
66,1985-11-01,11.12
67,1985-12-01,13.36
70,1986-01-01,16.23
71,1986-02-01,14.36
72,1986-03-01,-0.11
73,1986-04-01,0.78
74,1986-05-01,1.4
75,1986-06-01,1.27
76,1986-07-01,1.71
77,1986-08-01,3.55
78,1986-09-01,1.72
79,1986-10-01,1.9
80,1986-11-01,5.45
81,1986-12-01,11.65
84,1987-01-01,13.21
85,1987-02-01,12.64
86,1987-03-01,16.37
87,1987-04-01,19.1
88,1987-05-01,21.45
89,1987-06-01,19.71
90,1987-07-01,9.21
91,1987-08-01,4.87
92,1987-09-01,7.78
93,1987-10-01,11.22
94,1987-11-01,15.08
95,1987-12-01,14.15
98,1988-01-01,18.89
99,1988-02-01,15.7
100,1988-03-01,17.6
101,1988-04-01,19.29
102,1988-05-01,17.42
103,1988-06-01,22
104,1988-07-01,21.91
105,1988-08-01,21.59
106,1988-09-01,27.45
107,1988-10-01,25.62
108,1988-11-01,27.94
109,1988-12-01,28.7
112,1989-01-01,37.49
113,1989-02-01,16.78
114,1989-03-01,6.82
115,1989-04-01,8.33
116,1989-05-01,17.92
117,1989-06-01,28.65
118,1989-07-01,27.74
119,1989-08-01,33.71
120,1989-09-01,37.56
121,1989-10-01,39.77
122,1989-11-01,47.82
123,1989-12-01,51.5
126,1990-01-01,67.55
127,1990-02-01,75.73
128,1990-03-01,82.39
129,1990-04-01,15.52
130,1990-05-01,7.59
131,1990-06-01,11.75
132,1990-07-01,12.92
133,1990-08-01,12.88
134,1990-09-01,14.41
135,1990-10-01,14.36
136,1990-11-01,16.81
137,1990-12-01,18.44
140,1991-01-01,20.75
141,1991-02-01,20.72
142,1991-03-01,11.92
143,1991-04-01,4.99
144,1991-05-01,7.43
145,1991-06-01,11.19
146,1991-07-01,12.41
147,1991-08-01,15.63
148,1991-09-01,15.63
149,1991-10-01,20.23
150,1991-11-01,25.21
