,reunião,data,período de vigência,meta selic,tban,retorno_mesal,taxa_selic
3,238º,2021-05-05,06/05/2021 - 16/06/2021,3.5,,0.39,3.4
4,237º,2021-03-17,18/03/2021 - 05/05/2021,2.75,,0.34,2.65
5,236º,2021-01-20,21/01/2021 - 17/03/2021,2,,0.28,1.9
6,235º,2020-12-09,10/12/2020 - 20/01/2021,2,,0.21,1.9
7,234º,2020-10-28,29/10/2020 - 09/12/2020,2,,0.22,1.9
8,233º,2020-09-16,17/09/2020 - 28/10/2020,2,,0.22,1.9
9,232º,2020-08-05,06/08/2020 - 16/09/2020,2,,0.22,1.9
10,231º,2020-06-17,18/06/2020 - 05/08/2020,2.25,,0.3,2.15
11,230º,2020-05-06,07/05/2020 - 17/06/2020,3,,0.32,2.9
12,229º,2020-03-18,19/03/2020 - 06/05/2020,3.75,,0.46,3.65
13,228º,2020-02-05,06/02/2020 - 18/03/2020,4.25,,0.45,4.15
14,227º,2019-12-11,12/12/2019 - 05/02/2020,4.5,,0.65,4.4
15,226º,2019-10-30,31/10/2019 - 11/12/2019,5,,0.55,4.9
16,225º,2019-09-18,19/09/2019 - 30/10/2019,5.5,,0.63,5.4
17,224º,2019-07-31,01/08/2019 - 18/09/2019,6,,0.8,5.9
18,223º,2019-06-19,21/06/2019 - 31/07/2019,6.5,,0.72,6.4
19,222º,2019-05-08,09/05/2019 - 20/06/2019,6.5,,0.74,6.4
20,221º,2019-03-20,21/03/2019 - 08/05/2019,6.5,,0.82,6.4
21,220º,2019-02-05,06/02/2019 - 20/03/2019,6.5,,0.69,6.4
22,219º,2018-12-11,12/12/2018 - 05/02/2019,6.5,,0.94,6.4
23,218º,2018-10-31,01/11/2018 - 11/12/2018,6.5,,0.69,6.4
24,217º,2018-09-19,20/09/2018 - 31/10/2018,6.5,,0.72,6.4
25,216º,2018-08-01,02/08/2018 - 19/09/2018,6.5,,0.84,6.4
26,215º,2018-06-20,21/06/2018 - 01/08/2018,6.5,,0.74,6.4
27,214º,2018-05-16,17/05/2018 - 20/06/2018,6.5,,0.59,6.4
28,213º,2018-03-21,22/03/2018 - 16/05/2018,6.5,,0.94,6.4
29,212º,2018-02-06,07/02/2018 - 21/03/2018,6.75,,0.72,6.65
30,211º,2017-12-05,06/12/2017 - 06/02/2018,7,,1.15,6.9
31,210º,2017-10-24,25/10/2017 - 05/12/2017,7.5,,0.8,7.4
32,209º,2017-09-06,08/09/2017 - 24/10/2017,8.25,,1.03,8.15
33,208º,2017-07-26,27/07/2017 - 06/09/2017,9.25,,1.05,9.15
34,207º,2017-05-31,01/06/2017 - 26/07/2017,10.25,,1.51,10.15
35,206º,2017-04-12,13/04/2017 - 31/05/2017,11.25,,1.35,11.15
36,205º,2017-02-22,23/02/2017 - 12/04/2017,12.25,,1.51,12.15
37,204º,2017-01-10,11/01/2017 - 22/02/2017,13,,1.45,12.9
38,203º,2016-11-29,30/11/2016 - 10/01/2017,13.75,,1.53,13.65
39,202º,2016-10-18,19/10/2016 - 29/11/2016,14,,1.46,13.9
40,201º,2016-08-31,01/09/2016 - 18/10/2016,14.25,,1.75,14.15
41,200º,2016-07-20,21/07/2016 - 31/08/2016,14.25,,1.59,14.15
42,199º,2016-06-08,09/06/2016 - 20/07/2016,14.25,,1.59,14.15
43,198º,2016-04-27,28/04/2016 - 08/06/2016,14.25,,1.53,14.15
44,197º,2016-03-02,03/03/2016 - 27/04/2016,14.25,,2.02,14.15
45,196º,2016-01-19,20/01/2016 - 02/03/2016,14.25,,1.48,14.15
46,195º,2015-11-24,25/11/2015 - 19/01/2016,14.25,,2.02,14.15
47,194º,2015-10-20,21/10/2015 - 24/11/2015,14.25,,1.27,14.15
48,193º,2015-09-02,03/09/2015 - 20/10/2015,14.25,,1.75,14.15
49,192º,2015-07-29,30/07/2015 - 02/09/2015,14.25,,1.32,14.15
50,191º,2015-06-03,04/06/2015 - 29/07/2015,13.75,,2,13.65
51,190º,2015-04-29,30/04/2015 - 03/06/2015,13.25,,1.18,13.15
52,189º,2015-03-04,05/03/2015 - 29/04/2015,12.75,,1.81,12.65
53,188º,2015-01-20,21/01/2015 - 04/03/2015,12.25,,1.28,12.15
54,187º,2014-12-02,03/12/2014 - 20/01/2015,11.75,,1.45,11.65
55,186º,2014-10-28,29/10/2014 - 02/12/2014,11.25,,1.05,11.15
56,185º,2014-09-03,04/09/2014 - 28/10/2014,11,,1.66,10.9
57,184º,2014-07-16,17/07/2014 - 03/09/2014,11,,1.45,10.9
58,183º,2014-05-28,29/05/2014 - 16/07/2014,11,,1.41,10.9
59,182º,2014-04-02,03/04/2014 - 28/05/2014,11,,1.53,10.9
60,181º,2014-02-26,27/02/2014 - 02/04/2014,10.75,,0.93,10.65
61,180º,2014-01-14,15/01/2014 - 26/02/2014,10.5,,1.18,10.4
62,179º,2013-11-26,27/11/2013 - 14/01/2014,10,,1.24,9.9
63,178º,2013-10-09,10/10/2013 - 26/11/2013,9.5,,1.22,9.4
64,177º,2013-08-28,29/08/2013 - 09/10/2013,9,,1.02,8.9
65,176º,2013-07-10,11/07/2013 - 28/08/2013,8.5,,1.13,8.4
66,175º,2013-05-29,30/05/2013 - 10/07/2013,8,,0.88,7.9
67,174º,2013-04-17,18/04/2013 - 29/05/2013,7.5,,0.82,7.4
68,173º,2013-03-06,07/03/2013 - 17/04/2013,7.25,,0.8,7.16
69,172º,2013-01-15,16/01/2013 - 06/03/2013,7.25,,0.9,7.12
70,171º,2012-11-27,28/11/2012 - 15/01/2013,7.25,,0.91,7.14
71,170º,2012-10-10,11/10/2012 - 27/11/2012,7.25,,0.88,7.14
72,169º,2012-08-29,30/08/2012 - 10/10/2012,7.5,,0.82,7.39
73,168º,2012-07-11,12/07/2012 - 29/08/2012,8,,1.06,7.89
74,167º,2012-05-30,31/05/2012 - 11/07/2012,8.5,,0.93,8.39
75,166º,2012-04-18,19/04/2012 - 30/05/2012,9,,0.99,8.9
76,165º,2012-03-07,08/03/2012 - 18/04/2012,9.75,,1.07,9.65
77,164º,2012-01-17,18/01/2012 - 07/03/2012,10.5,,1.3,10.4
78,163º,2011-11-29,30/11/2011 - 17/01/2012,11,,1.45,10.9
79,162º,2011-10-18,19/10/2011 - 29/11/2011,11.5,,1.21,11.4
80,161º,2011-08-31,01/09/2011 - 18/10/2011,12,,1.48,11.9
81,160º,2011-07-20,21/07/2011 - 31/08/2011,12.5,,1.4,12.42
82,159º,2011-06-08,09/06/2011 - 20/07/2011,12.25,,1.33,12.17
83,158º,2011-04-20,21/04/2011 - 08/06/2011,12,,1.49,11.92
84,157º,2011-03-02,03/03/2011 - 20/04/2011,11.75,,1.46,11.67
85,156º,2011-01-18,19/01/2011 - 02/03/2011,11.25,,1.27,11.17
86,155º,2010-12-07,08/12/2010 - 18/01/2011,10.75,,1.21,10.66
87,154º,2010-10-19,20/10/2010 - 07/12/2010,10.75,,1.34,10.66
88,153º,2010-09-01,02/09/2010 - 19/10/2010,10.75,,1.34,10.66
89,152º,2010-07-21,22/07/2010 - 01/09/2010,10.75,,1.21,10.66
90,151º,2010-06-09,10/06/2010 - 21/07/2010,10.25,,1.16,10.16
91,150º,2010-04-28,29/04/2010 - 09/06/2010,9.5,,1.04,9.4
92,149º,2010-03-17,18/03/2010 - 28/04/2010,8.75,,0.93,8.65
93,148º,2010-01-26,27/01/2010 - 17/03/2010,8.75,,1.09,8.65
94,147º,2009-12-08,09/12/2009 - 26/01/2010,8.75,,1.09,8.65
95,146º,2009-10-20,21/10/2009 - 08/12/2009,8.75,,1.13,8.65
96,145º,2009-09-02,03/09/2009 - 20/10/2009,8.75,,1.09,8.65
97,144º,2009-07-22,23/07/2009 - 02/09/2009,8.75,,0.99,8.65
98,143º,2009-06-10,11/06/2009 - 22/07/2009,9.25,,1.01,9.16
99,142º,2009-04-29,30/04/2009 - 10/06/2009,10.25,,1.12,10.16
100,141º,2009-03-11,12/03/2009 - 29/04/2009,11.25,,1.4,11.16
101,140º,2009-01-20,21/01/2009 - 11/03/2009,12.75,,1.57,12.66
102,139º,2008-12-09,10/12/2008 - 20/01/2009,13.75,,1.43,13.66
103,138º,2008-10-28,29/10/2008 - 09/12/2008,13.75,,1.53,13.65
104,137º,2008-09-10,11/09/2008 - 28/10/2008,13.75,,1.79,13.66
105,136º,2008-07-23,24/07/2008 - 10/09/2008,13,,1.7,12.92
106,135º,2008-06-04,05/06/2008 - 23/07/2008,12.25,,1.61,12.17
107,134º,2008-04-16,17/04/2008 - 04/06/2008,11.75,,1.41,11.63
108,133º,2008-03-05,06/03/2008 - 16/04/2008,11.25,,1.23,11.18
109,132º,2008-01-22,23/01/2008 - 05/03/2008,11.25,,1.18,11.18
110,131º,2007-12-04,05/12/2007 - 22/01/2008,11.25,,1.4,11.18
111,130º,2007-10-17,18/10/2007 - 04/12/2007,11.25,,1.4,11.18
112,129º,2007-09-05,06/09/2007 - 17/10/2007,11.25,,1.18,11.18
113,128º,2007-07-18,19/07/2007 - 05/09/2007,11.5,,1.51,11.43
114,127º,2007-06-06,07/06/2007 - 18/07/2007,12,,1.31,11.93
115,126º,2007-04-18,19/04/2007 - 06/06/2007,12.5,,1.59,12.43
116,125º,2007-03-07,08/03/2007 - 18/04/2007,12.75,,1.38,12.68
117,124º,2007-01-23,24/01/2007 - 07/03/2007,13,,1.36,12.93
118,123º,2006-11-28,29/11/2006 - 23/01/2007,13.25,,1.89,13.19
119,122º,2006-10-17,18/10/2006 - 28/11/2006,13.75,,1.43,13.67
120,121º,2006-08-30,31/08/2006 - 17/10/2006,14.25,,1.75,14.17
121,120º,2006-07-19,20/07/2006 - 30/08/2006,14.75,,1.64,14.67
122,119º,2006-05-31,01/06/2006 - 19/07/2006,15.25,,1.92,15.18
123,118º,2006-04-19,20/04/2006 - 31/05/2006,15.75,,1.63,15.7
124,117º,2006-03-08,09/03/2006 - 19/04/2006,16.5,,1.77,16.5
125,116º,2006-01-17,18/01/2006 - 08/03/2006,17.25,,2.11,17.26
126,115º,2005-12-13,14/12/2005 - 17/01/2006,18,,1.66,18
127,114º,2005-11-22,23/11/2005 - 13/12/2005,18.5,,1.01,18.49
128,113º,2005-10-18,19/10/2005 - 22/11/2005,19,,1.6,18.98
129,112º,2005-09-14,15/09/2005 - 18/10/2005,19.5,,1.71,19.48
130,111º,2005-08-17,18/08/2005 - 14/09/2005,19.75,,1.37,19.74
131,110º,2005-07-20,21/07/2005 - 17/08/2005,19.75,,1.44,19.75
132,109º,2005-06-15,16/06/2005 - 20/07/2005,19.75,,1.8,19.73
133,108º,2005-05-18,19/05/2005 - 15/06/2005,19.75,,1.37,19.75
134,107º,2005-04-20,22/04/2005 - 18/05/2005,19.5,,1.35,19.51
135,106º,2005-03-16,17/03/2005 - 21/04/2005,19.25,,1.69,19.24
136,105º,2005-02-16,17/02/2005 - 16/03/2005,18.75,,1.37,18.75
137,104º,2005-01-18,19/01/2005 - 16/02/2005,18.25,,1.2,18.25
138,103º,2004-12-14,15/12/2004 - 18/01/2005,17.75,,1.63,17.74
139,102º,2004-11-16,17/11/2004 - 14/12/2004,17.25,,1.27,17.23
