,Data,Fechamento,Variação,Retorno Mensal (%),Abertura,Máxima,Mínima,Volume
0,2021-07-19,3064.09,-43.25,-0.0139,3106.81,3106.81,3036.43,0
1,2021-07-16,3107.34,0.0,0.0,3132.59,3147.94,3104.57,0
2,2021-07-16,3107.34,-25.18,-0.008,3132.59,3147.94,3104.57,108981600
3,2021-07-15,3132.52,-22.95,-0.0073,3155.47,3163.66,3116.07,133373300
4,2021-07-14,3155.47,15.08,0.0048,3140.57,3174.22,3140.57,127793800
5,2021-07-13,3140.39,16.25,0.0052,3124.13,3143.93,3097.04,119352100
6,2021-07-12,3124.14,55.08,0.0179,3069.13,3124.27,3069.13,128219000
7,2021-07-09,3069.06,0.0,0.0,3114.7,3114.7,3040.43,0
8,2021-07-08,3069.06,-46.04,-0.0148,3114.7,3114.7,3040.43,115404000
9,2021-07-07,3115.1,25.36,0.0082,3089.74,3121.61,3076.26,121562100
10,2021-07-06,3089.74,-70.15,-0.0222,3159.84,3159.84,3082.51,111634800
11,2021-07-05,3159.89,-4.34,-0.0014,3164.23,3179.03,3156.68,85255400
12,2021-07-02,3164.23,50.42,0.0162,3113.92,3166.28,3113.92,117030800
13,2021-07-01,3113.81,-30.87,-0.0098,3144.75,3156.17,3100.28,149627300
14,2021-06-30,3144.68,-2.48,-0.0008,3147.13,3147.13,3113.54,145348600
15,2021-06-29,3147.16,-18.17,-0.0057,3165.3,3167.37,3105.54,131888700
16,2021-06-28,3165.33,8.47,0.0027,3156.87,3191.4,3141.89,136850900
17,2021-06-25,3156.86,-54.67,-0.017,3211.53,3215.24,3132.81,125411800
18,2021-06-24,3211.53,7.23,0.0023,3204.3,3232.89,3202.59,117039900
19,2021-06-23,3204.3,0.27,0.0001,3203.89,3228.13,3190.98,105442000
20,2021-06-22,3204.03,-20.76,-0.0064,3224.7,3225.05,3180.75,125565600
21,2021-06-21,3224.79,40.36,0.0127,3184.6,3228.53,3182.65,98717300
22,2021-06-18,3184.43,13.01,0.0041,3171.42,3194.57,3157.28,147109300
23,2021-06-17,3171.42,-23.45,-0.0073,3194.89,3205.33,3162.41,133768000
24,2021-06-16,3194.87,-16.82,-0.0052,3211.68,3220.33,3170.84,146421200
25,2021-06-15,3211.69,0.24,0.0001,3211.4,3219.15,3192.42,112111700
26,2021-06-14,3211.45,52.15,0.0165,3159.36,3221.29,3159.36,126008800
27,2021-06-11,3159.3,-35.4,-0.0111,3194.71,3198.57,3138.87,106013300
28,2021-06-10,3194.7,28.01,0.0088,3166.69,3194.7,3160.46,112668700
29,2021-06-09,3166.69,-7.85,-0.0025,3174.54,3184.25,3158.99,122985100
30,2021-06-08,3174.54,-8.12,-0.0026,3182.67,3195.64,3157.86,122081800
31,2021-06-07,3182.66,-8.36,-0.0026,3191.11,3206.01,3179.01,133111700
32,2021-06-04,3191.02,34.1,0.0108,3156.9,3194.41,3146.72,136614200
33,2021-06-03,3156.92,0.0,0.0,3136.2,3160.16,3134.96,0
34,2021-06-02,3156.92,20.72,0.0066,3136.2,3160.16,3134.96,142043600
35,2021-06-01,3136.2,31.7,0.0102,3104.51,3156.38,3104.51,175841400
36,2021-05-31,3104.5,15.0,0.0049,3089.48,3109.66,3078.39,104762300
